======================================================================
== /Users/douglas.mason/Documents/GitHub/kcd2_gear_picker/kcd2-ref/Libs/Tables/combat/combat_action_guard_movement.tbl
======================================================================
Header:
  File Format Version ... 3
  Descriptors Hash ...... 569042029
  Layout Hash ........... 1982745168
  Table Version ......... 30
  Line Count ............ 251
  String Data Size ...... 7445
  Unique String Count ... 162
  File Size ............. 77753
  Calculated Line Size .. 280 (rem. 0)
String Table:
  [0] CombatIdle
  [1] sZ2
  [2] l_halberd+r_halberd+player+sZ2+leftGuard+oppDog+oppMale+oppFemale
  [3] Dog,NPC,NPC_Female
  [4] l_halberd+r_halberd+player+sZ1+rightGuard+oppDog+oppMale+oppFemale
  [5] l_halberd+r_halberd+sZ1+rightGuard+oppDog+oppMale+oppFemale
  [6] l_halberd+r_halberd+sZ2+leftGuard+oppDog+oppMale+oppFemale
  [7] l_halberd+r_halberd+player+sZ5+rightGuard+oppMale+oppFemale
  [8] NPC,NPC_Female
  [9] l_halberd+r_halberd+sZ5+rightGuard+oppMale+oppFemale
  [10] l_longsword+r_longsword+player+sZ2+leftGuard+oppDog+oppMale+oppFemale
  [11] l_longsword+r_longsword+player+sZ1+rightGuard+oppDog+oppMale+oppFemale
  [12] l_longsword+r_longsword+sZ1+rightGuard+oppDog+oppMale+oppFemale
  [13] l_longsword+r_longsword+player+sZ5+rightGuard+oppMale+oppFemale
  [14] l_longsword+r_longsword+sZ2+leftGuard+oppDog+oppMale+oppFemale
  [15] l_longsword+r_longsword+player+sZ0+leftGuard+oppMale+oppFemale
  [16] l_longsword+r_longsword+sZ0+leftGuard+oppMale+oppFemale
  [17] l_longsword+r_longsword+sZ5+rightGuard+oppMale+oppFemale
  [18] player+sZ1+rightGuard+r_shortSwords+l_noShield+oppDog+oppMale+oppFemale
  [19] l_shield+player+sZ1+rightGuard+r_bluntWeapon+oppDog+oppMale+oppFemale
  [20] l_shield+player+sZ1+rightGuard+r_swords+oppDog+oppMale+oppFemale
  [21] player+sZ1+rightGuard+r_bluntWeapon+l_noShield+oppDog+oppMale+oppFemale
  [22] l_shield+player+sZ2+leftGuard+r_swords+oppDog+oppMale+oppFemale
  [23] l_shield+player+sZ2+leftGuard+r_bluntWeapon+oppDog+oppMale+oppFemale
  [24] player+sZ2+leftGuard+r_shortSwords+l_noShield+oppDog+oppMale+oppFemale
  [25] player+sZ2+leftGuard+r_bluntWeapon+l_noShield+oppDog+oppMale+oppFemale
  [26] player+sZ0+leftGuard+r_bluntWeapon+l_noShield+oppMale+oppFemale
  [27] r_noweapon+player+sZ1+rightGuard+l_noShield+oppMale+oppFemale
  [28] player+sZ5+rightGuard+r_shortSwords+l_noShield+oppMale+oppFemale
  [29] player+sZ0+leftGuard+r_shortSwords+l_noShield+oppMale+oppFemale
  [30] l_shield+player+sZ0+leftGuard+r_swords+oppMale+oppFemale
  [31] l_shield+sZ2+leftGuard+r_swords+oppDog+oppMale+oppFemale
  [32] l_shield+sZ1+rightGuard+r_swords+oppDog+oppMale+oppFemale
  [33] sZ2+leftGuard+r_shortSwords+l_noShield+oppDog+oppMale+oppFemale
  [34] sZ1+rightGuard+r_bluntWeapon+l_noShield+oppDog+oppMale+oppFemale
  [35] r_noweapon+player+sZ2+leftGuard+l_noShield+oppMale+oppFemale
  [36] r_noweapon+player+sZ5+rightGuard+l_noShield+oppMale+oppFemale
  [37] l_shield+sZ1+rightGuard+r_bluntWeapon+oppDog+oppMale+oppFemale
  [38] sZ1+rightGuard+r_shortSwords+l_noShield+oppDog+oppMale+oppFemale
  [39] l_shield+sZ2+leftGuard+r_bluntWeapon+oppDog+oppMale+oppFemale
  [40] sZ2+leftGuard+r_bluntWeapon+l_noShield+oppDog+oppMale+oppFemale
  [41] l_shield+player+sZ5+rightGuard+r_swords+oppMale+oppFemale
  [42] l_shield+player+sZ0+leftGuard+r_bluntWeapon+oppMale+oppFemale
  [43] r_noweapon+player+sZ5+rightGuard+l_noShield+oppDog
  [44] Dog
  [45] sZ0+leftGuard+r_bluntWeapon+l_noShield+oppMale+oppFemale
  [46] l_shield+sZ0+leftGuard+r_bluntWeapon+oppMale+oppFemale
  [47] l_shield+sZ0+leftGuard+r_swords+oppMale+oppFemale
  [48] r_noweapon+sZ5+rightGuard+l_noShield+oppMale+oppFemale
  [49] r_noweapon+sZ2+leftGuard+l_noShield+oppMale+oppFemale
  [50] l_shield+sZ5+rightGuard+r_swords+oppMale+oppFemale
